CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue
807226683,Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue
715996983,Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue
773466258,Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue
798983508,Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver
719117433,Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue
716451183,Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue
718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue
715085733,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue
788977833,Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue
720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue
708421833,Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue
709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue
715120608,Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue
771742533,Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue
716458983,Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue
713747733,Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue
712270158,Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue
789562383,Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue
754897008,Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue
819700533,Existing Customer,50,M,0,High School,Single,$120K +,Silver
712890408,Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue
779749908,Existing Customer,48,M,4,College,Married,$60K - $80K,Gold
717401883,Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue
721509558,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue
710572458,Existing Customer,36,F,3,High School,Married,Unknown,Blue
714576183,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue
721425558,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue
711109908,Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue
715203108,Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue
787464408,Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue
783542133,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue
708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue
714426783,Existing Customer,38,F,2,Graduate,Single,Unknown,Blue
712701333,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue
709494483,Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue
773373108,Existing Customer,49,F,4,High School,Married,Less than $40K,Blue
715812258,Existing Customer,45,M,2,High School,Married,$80K - $120K,Blue
778286433,Existing Customer,67,M,0,Graduate,Married,$40K - $60K,Blue
789270033,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver
711569433,Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K,Blue
720214833,Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver
709346133,Existing Customer,55,F,2,Uneducated,Married,Unknown,Blue
788194458,Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue
720779733,Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue
717424458,Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue
708820308,Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue
710558058,Existing Customer,46,F,3,Unknown,Married,Less than $40K,Blue
770590758,Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue
718490658,Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue
711985833,Existing Customer,38,F,4,Uneducated,Single,Less than $40K,Blue
708967608,Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue
718505958,Existing Customer,43,M,5,Graduate,Divorced,$120K +,Silver
715024233,Existing Customer,53,M,1,High School,Married,$120K +,Blue
779249583,Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue
709278258,Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue
778928283,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue
712299858,Existing Customer,62,M,1,High School,Married,Less than $40K,Blue
799224108,Existing Customer,46,F,4,Graduate,Single,Less than $40K,Blue
809976033,Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue
716203308,Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue
714871683,Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue
716139933,Existing Customer,54,M,0,High School,Married,$80K - $120K,Blue
716984658,Existing Customer,49,M,1,Graduate,Married,$120K +,Blue
713086008,Existing Customer,58,F,3,High School,Married,Less than $40K,Blue
713773458,Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue
719242533,Existing Customer,41,M,5,High School,Married,$60K - $80K,Blue
772712658,Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue
788868858,Existing Customer,54,M,2,Graduate,Married,Less than $40K,Blue
811898133,Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue
788808633,Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue
779804208,Existing Customer,53,F,2,Graduate,Single,$40K - $60K,Blue
781391058,Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue
790134408,Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue
788853258,Existing Customer,41,M,1,Uneducated,Married,$60K - $80K,Blue
711857733,Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue
822969858,Existing Customer,61,F,0,Graduate,Married,Unknown,Blue
719554758,Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue
711643458,Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue
788830683,Existing Customer,40,M,2,Graduate,Single,$80K - $120K,Blue
807030858,Existing Customer,51,M,4,High School,Single,$120K +,Blue
793059108,Existing Customer,50,F,2,Graduate,Married,$40K - $60K,Blue
716568708,Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue
828281733,Existing Customer,43,M,4,Unknown,Married,$120K +,Blue
717229158,Existing Customer,36,F,4,Graduate,Married,$40K - $60K,Blue
715915458,Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue
819129858,Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue
713441958,Existing Customer,46,M,2,High School,Married,$120K +,Blue
719091333,Existing Customer,52,M,0,Uneducated,Married,$60K - $80K,Blue
708666258,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue
714914583,Existing Customer,40,F,4,Graduate,Single,Less than $40K,Blue
714363858,Existing Customer,54,F,4,High School,Married,Less than $40K,Blue
721347408,Existing Customer,55,F,1,High School,Single,Less than $40K,Blue
809608533,Existing Customer,49,F,4,Post-Graduate,Single,Unknown,Blue
772047183,Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue
714217908,Existing Customer,49,M,3,Graduate,Married,$40K - $60K,Blue
714819183,Existing Customer,63,M,1,Uneducated,Married,$80K - $120K,Blue
716455683,Existing Customer,40,F,3,High School,Single,Less than $40K,Gold
710865633,Existing Customer,41,F,2,Graduate,Married,Less than $40K,Silver
752952108,Existing Customer,37,M,4,Graduate,Married,$80K - $120K,Blue
712595433,Existing Customer,58,M,2,Uneducated,Unknown,$120K +,Blue
